total, data
2022-07-22 08:17:32.767282,29
2022-07-22 08:17:33.772488,29
2022-07-22 08:17:34.785979,29
2022-07-22 08:17:35.796154,29
2022-07-22 08:17:36.807739,29
2022-07-22 08:17:37.812559,29
2022-07-22 08:17:38.824959,29
2022-07-22 08:17:39.826385,29
2022-07-22 08:17:40.836584,29
2022-07-22 08:17:41.840441,29
2022-07-22 08:17:42.855231,29
2022-07-22 08:17:43.871122,30
2022-07-22 08:17:44.883062,30
2022-07-22 08:17:45.899786,29
2022-07-22 08:17:46.901500,29
2022-07-22 08:17:47.903444,29
2022-07-22 08:17:48.909567,29
2022-07-22 08:17:49.925041,29
2022-07-22 08:17:50.940086,29
2022-07-22 08:17:51.956099,29
2022-07-22 08:17:52.962681,29
2022-07-22 08:17:53.970293,29
2022-07-22 08:17:54.979858,29
2022-07-22 08:17:55.987667,29
2022-07-22 08:17:56.997523,29
2022-07-22 08:17:58.011652,29
2022-07-22 08:17:59.026808,29
2022-07-22 08:18:00.040663,29
2022-07-22 08:18:01.047463,29
2022-07-22 08:18:02.062683,29
2022-07-22 08:18:03.074253,29
2022-07-22 08:18:04.091590,29
2022-07-22 08:18:05.102801,29
2022-07-22 08:18:06.112981,29
2022-07-22 08:18:07.123069,30
2022-07-22 08:18:08.135621,29
2022-07-22 08:18:09.149282,29
2022-07-22 08:18:10.152367,29
2022-07-22 08:18:11.157527,29
2022-07-22 08:18:12.161527,29
2022-07-22 08:18:13.165913,29
2022-07-22 08:18:14.170645,30
2022-07-22 08:18:15.173650,29
2022-07-22 08:18:16.184431,29
2022-07-22 08:18:17.189385,29
2022-07-22 08:18:18.192099,29
2022-07-22 08:18:19.201122,29
2022-07-22 08:18:20.211412,29
2022-07-22 08:18:21.220304,29
2022-07-22 08:18:22.226577,29
2022-07-22 08:18:23.234149,29
2022-07-22 08:18:24.236681,29
2022-07-22 08:18:25.250276,29
2022-07-22 08:18:26.261051,29
2022-07-22 08:18:27.270233,29
2022-07-22 08:18:28.277156,29
2022-07-22 08:18:29.284125,29
2022-07-22 08:18:30.295021,29
2022-07-22 08:18:31.303672,29
2022-07-22 08:18:32.310016,29
